id,date,symbol,direction,entry_type,entry,sl,target,rr,qty,status,pnl,entry_time,exit_time,exit_price
1,2026-04-21 09:45:13,NIFTY26042324450CE,BUY,Retest,24473.95,24463.95,24503.95,3,300,TARGET_HIT,9000.0,09:45:13,10:05:05,24503.95
2,2026-04-21 10:15:15,NIFTY26042324500CE,BUY,Retest,24518.6,24511.3,24540.5,3,435,SL_HIT,-3175.5,10:15:15,10:20:14,24511.3
3,2026-04-21 10:30:10,NIFTY26042324500CE,BUY,Retest,24496.25,24492.05,24508.85,3,742,TARGET_HIT,9349.2,10:30:10,10:35:07,24508.85
